t i j k u[t]
573 4 16 19 0.054653000000000014
574 4 16 20 0.027229500000000018
575 4 17 18 0.042649
576 4 17 19 0.0484995
577 4 17 20 -0.263181
578 4 18 19 -0.03462249999999999
579 4 18 20 -0.052982999999999995
580 4 19 20 0.08648999999999998
581 5 6 7 0.06411
582 5 6 8 0.08007750000000001
583 5 6 9 0.07434500000000001
584 5 6 10 0.30839769999999994
585 5 6 11 0.04135000000000002
586 5 6 12 -0.16613199999999997
587 5 6 13 0.053701
588 5 6 14 0.311015
589 5 6 15 -0.04081999999999999
590 5 6 16 -0.022040999999999995
591 5 6 17 -0.14827499999999996
592 5 6 18 -0.13992
593 5 6 19 0.081085
594 5 6 20 0.276966
595 5 7 8 0.169329
596 5 7 9 -0.05575999999999999
597 5 7 10 0.5068549999999999
598 5 7 11 0.048650000000000006
599 5 7 12 0.1873965
600 5 7 13 -0.08861000000000001
601 5 7 14 0.195125
602 5 7 15 -0.00282
603 5 7 16 -0.027355000000000008
604 5 7 17 0.1176395
605 5 7 18 -0.08429499999999998
606 5 7 19 0.130805
607 5 7 20 0.21769
608 5 8 9 0.03593600000000001
609 5 8 10 0.07855599999999997
610 5 8 11 -0.14649249999999997
611 5 8 12 -0.006418500000000004
612 5 8 13 -0.039443500000000006
613 5 8 14 0.11529449999999998
614 5 8 15 -0.072634
615 5 8 16 -0.138259
616 5 8 17 0.094181
617 5 8 18 -0.057568999999999995
618 5 8 19 0.039790999999999986
619 5 8 20 -0.05040399999999998
620 5 9 10 0.51476
621 5 9 11 -0.038584499999999994
622 5 9 12 -0.09463699999999999
623 5 9 13 -0.110325
624 5 9 14 -0.05260500000000001
625 5 9 15 -0.394915
626 5 9 16 -0.19096000000000002
627 5 9 17 -0.24633999999999998
628 5 9 18 -0.15379500000000002
629 5 9 19 0.10393999999999999
630 5 9 20 0.15675999999999998
631 5 10 11 -0.60176
632 5 10 12 -0.277732
633 5 10 13 -0.41322499999999995
634 5 10 14 0.025719999999999996
635 5 10 15 -0.11376000000000001
636 5 10 16 -0.28741799999999995
637 5 10 17 -0.14339999999999997
638 5 10 18 -0.15702
639 5 10 19 -0.218705
640 5 10 20 -0.0119375
641 5 11 12 0.1287515
642 5 11 13 0.04944199999999999
643 5 11 14 0.20662499999999995
644 5 11 15 0.06430000000000001
645 5 11 16 0.06462199999999999
646 5 11 17 -0.008150000000000011
647 5 11 18 0.0798155
648 5 11 19 0.016849999999999997
649 5 11 20 0.08443999999999997
650 5 12 13 0.020237
651 5 12 14 0.1357035
652 5 12 15 -0.19050299999999998
653 5 12 16 -0.012563000000000001
654 5 12 17 -0.077093
655 5 12 18 -0.023860499999999996
656 5 12 19 -0.14395
657 5 12 20 0.12651099999999998
658 5 13 14 -0.008129999999999969
659 5 13 15 0.0488445
660 5 13 16 0.16801999999999997
661 5 13 17 -0.06609
662 5 13 18 0.17110999999999998
663 5 13 19 0.034980000000000004
664 5 13 20 0.31857
665 5 14 15 0.10025999999999999
666 5 14 16 -0.15579499999999996
667 5 14 17 -0.025669999999999995
668 5 14 18 -0.11972499999999998
669 5 14 19 -0.29305
670 5 14 20 0.0086495
671 5 15 16 -0.22719499999999998
672 5 15 17 -0.10570499999999998
673 5 15 18 -0.13171
674 5 15 19 0.011044999999999992
675 5 15 20 0.24021949999999995
676 5 16 17 0.09318649999999999
677 5 16 18 -0.04262999999999999
678 5 16 19 0.016578000000000002
