match,team1,direct_play,counterattack,T_maintenance,T_build_up,T_zona_media,flow_rate,crossing,pressure_point,pressure_loss,shots,liga
2499785,1613,237.72803763733484,46.73262878833637,264.93047399999955,86.12719599999969,155.20728800000097,4.338260978068593,2,766.0,120.22661199999993,2,England
2499786,1619,336.59385474849495,40.0278231095792,251.73424699999936,277.335965,1093.1710669999975,13.693128807129195,10,2416.0,147.01507300000048,0,England
2499786,1639,245.31920030903956,28.59331013282273,216.44864100000245,172.304760000001,138.4930190000004,5.934613103319721,3,848.0,101.95587599999936,2,England
2499787,1627,209.20824765089807,21.69610996897504,184.25029399999949,135.16847000000007,180.7410589999996,2.7854880292789996,2,830.0,36.406521000000566,3,England
2499787,1644,315.2480520108733,37.92920395050065,205.2664309999998,421.79834299999914,638.9574949999987,12.230829553374758,6,2418.0,125.48032599999897,3,England
2499788,1633,259.66233267006703,52.45328725747567,364.8942949999996,191.62477900000133,476.63205100000073,7.690716380222287,8,1531.0,52.876970999999,2,England
2499788,10531,225.40404020809416,35.81958843260134,183.2218909999994,192.95979300000022,586.8982440000008,10.700850868190704,8,1652.0,164.21614599999953,2,England
2499789,1623,260.72115836740284,54.00692357714469,336.27262499999745,241.65985999999987,315.00290199999984,9.36292675533193,5,1556.0,87.13444300000015,3,England
2499789,1651,278.74872899260737,36.822183060411646,267.89744800000057,137.23324499999944,255.88248600000009,8.739020602632873,2,1495.0,103.45537699999886,0,England
2499790,1633,217.26718474489968,17.691615870941245,116.80185299999886,300.8685400000015,329.5130160000008,7.497661838907103,5,956.0,79.78251299999977,3,England
2499790,1646,311.3976762264952,74.5165536426864,125.43099499999838,263.70723900000013,598.008757999999,10.50422355484932,16,1747.0,74.72908100000092,2,England
2499791,1610,361.3371538512667,72.9651464909284,448.8838419999999,355.1621359999999,468.9457169999988,13.640492258434175,8,2935.0,274.9052730000001,6,England
2499791,1628,273.98998236197576,38.81957371662651,168.9676010000005,387.13818600000104,409.6172889999996,13.610244195692866,4,1694.0,23.526851000000363,3,England
2499792,1627,202.97563144656507,30.27437912855544,111.38123600000006,183.8405889999999,431.784195000001,10.683600498524646,7,1368.0,103.7777910000018,2,England
2499792,1631,236.23171197470464,57.96663470011411,185.5694040000011,219.4408569999996,623.992877999998,8.133896366718954,10,1829.0,119.93375000000026,3,England
2499793,1611,153.96779132976584,6.03495629529332,351.7739609999992,201.92393700000002,251.90898299999907,9.113493438562784,5,1341.0,47.26876099999981,2,England
2499793,1612,355.7460570876193,41.921185533198425,399.70170199999825,230.2289279999992,709.0207109999999,12.375769490728182,8,2111.0,40.242998000001535,7,England
2499794,1625,462.1986433968767,70.74005539207354,445.29736299999956,435.19350399999894,1366.738746000001,17.67990664546487,11,2790.0,125.36070799999982,5,England
2499794,1639,130.97294561397564,35.462138348094186,160.22146900000052,162.40605899999923,322.70812900000084,3.377779377865844,1,907.0,99.58716199999981,2,England
2499795,1613,168.56822324212658,29.627336900788922,235.43621600000097,169.70841999999993,326.84331700000007,11.178507409862297,7,1061.0,13.794195999999147,4,England
2499795,1619,393.0638497657698,76.08920673883709,288.54470800000126,303.19635000000085,824.1444250000018,12.94337111566485,9,2469.0,44.48929300000009,3,England
2499796,1673,416.70842041096466,22.454500254678734,760.5896760000016,246.71499400000096,343.09531000000015,8.17902065928013,6,1636.0,24.435277999999926,0,England
2499796,10531,242.27168635996253,8.848499945306898,111.36873999999989,230.7192460000016,411.78886800000294,7.307342636420021,4,1066.0,109.15178799999978,0,England
2499797,1624,393.60582920270184,45.09316223986627,211.82633900000008,554.1976690000002,999.2202540000005,18.970917113425195,13,3162.0,71.56155399999977,3,England
2499797,1659,169.32549859087808,30.421436516036593,182.33561199999968,161.1185160000016,175.69460800000013,4.938571280281406,3,853.0,12.535944999999856,3,England
2499798,1609,364.23523906909253,51.5493978634855,156.64872100000002,305.97619000000066,780.680705999998,13.564976539197005,8,1781.0,93.71409699999958,3,England
2499798,1644,193.33515208786847,35.939802541417784,340.2321519999998,283.598609,494.7170210000014,11.263129537871064,8,1664.0,39.899554999999964,3,England
2499799,1610,232.4282495677063,55.788756779499316,416.5002570000002,158.14368399999915,315.40804100000116,11.636436752342577,10,1801.0,68.55820900000077,2,England
2499799,1644,335.5102437407984,76.4199294449981,275.04201399999965,358.9620690000009,557.4343829999999,10.48305324482265,8,1417.0,39.65318699999989,5,England
2499800,1609,364.3633105005383,74.83075193122156,204.4626569999994,208.24152500000054,812.8987990000006,14.961020846941638,5,2253.0,197.93210400000135,2,England
2499800,1623,168.33305395209985,28.54098665689792,208.2291240000004,125.95387200000107,194.06360200000046,8.013038530659873,3,910.0,38.044713000000684,3,England
2499801,1611,419.1439040382338,69.7173510607082,223.53509200000104,472.45189699999855,1120.5690900000002,22.648610697733663,9,3160.0,105.49992200000031,1,England
